id,titlu,valoare,data,tip,firma,cui,ofertanti
achizitie-directa-2025-492313,Servicii de brokeraj de asigurari (Rev.2),12315.25,2025-12-10,Achizitie directa,ZBK BALKAN S.A. BULGARIA SUCURSALA ROMANIA,35779982,1
achizitie-directa-2025-510151,Diverse produse alimentare (Rev.2),589.3100000000001,2025-12-11,Achizitie directa,SELGROS CASH&CARRY SRL,11805367,1
achizitie-directa-2025-511019,Aditivi chimici (Rev.2),845.0,2025-12-11,Achizitie directa,TURBOTOP,22627540,1
achizitie-directa-2025-513300,Servicii pentru evenimente (Rev.2),600.0,2025-12-12,Achizitie directa,HAHAHA SRL,38846954,1
achizitie-directa-2025-528215,Servicii de certificare a semnaturii electronice (Rev.2),2345.0,2025-12-15,Achizitie directa,CENTRUL DE CALCUL,2163993,1
achizitie-directa-2025-542102,Diverse articole (Rev.2),3419.77,2025-12-16,Achizitie directa,DEDEMAN S.R.L.,2816464,1
achizitie-directa-2025-544559,Produse de curatenie (Rev.2),4098.0,2025-12-16,Achizitie directa,KSA ROAD SERVICES,35253022,1
achizitie-directa-2025-578634,Diverse servicii de dezvoltare de software si sisteme informatice (Rev.2),35000.0,2025-12-19,Achizitie directa,INTEGRISOFT SOLUTIONS,12448483,1
achizitie-directa-2025-586755,Servicii de conceptie tehnica (Rev.2),155000.0,2025-12-22,Achizitie directa,MASTER SOLUTIONS TEAM,32099000,1
achizitie-directa-2025-595269,Acumulatori electrici (Rev.2),4186.76,2025-12-24,Achizitie directa,FANPLACE iT SRL,31962960,1
achizitie-directa-2025-596211,Uleiuri pentru motoare (Rev.2),105.33,2025-12-29,Achizitie directa,TURBOTOP,22627540,1
achizitie-directa-2025-597378,Pneuri pentru autovehicule (Rev.2),2880.0,2025-12-29,Achizitie directa,KSA ROAD SERVICES,35253022,1
achizitie-directa-2025-597389,Servicii de reparare si de intretinere a autovehiculelor si a echipamentelor con,3640.0,2025-12-29,Achizitie directa,KSA ROAD SERVICES,35253022,1
contract-2025-113859,Amenajare si intretinere de spatii verzi (Rev.2),4615582.0,2025-12-11,Licitatie deschisa,DAV  GARDEN & SERVICE,RO 28167751,2
achizitie-directa-2026-17785,Servicii de promovare (Rev.2),132000.0,2026-01-12,Achizitie directa,INDOOR MEDIA GROUP,18436062,1
achizitie-directa-2026-20053,Publicatii periodice (Rev.2),72000.0,2026-01-12,Achizitie directa,ASOCIATIA CENTRUL ROMAN PENTRU INITIATIVA SOCIALA,26181156,1
achizitie-directa-2026-20824,Servicii de intretinere a ascensoarelor (Rev.2),39044.0,2026-01-13,Achizitie directa,OTIS LIFT S.R.L.,7782044,1
achizitie-directa-2026-23237,Servicii de reparare si de intretinere a automobilelor (Rev.2),2336.36,2026-01-13,Achizitie directa,GI EUROSERVICE,19166285,1
achizitie-directa-2026-24875,Senzori (Rev.2),4494.7,2026-01-13,Achizitie directa,TURBOTOP,22627540,1
achizitie-directa-2026-43829,Servicii de monitorizare a sistemelor de alarma (Rev.2),2880.0,2026-01-16,Achizitie directa,SSG SELECT SOLUTIONS,36563420,1
achizitie-directa-2026-55866,Servicii de ajutor pentru utilizatori (Rev.2),212000.0,2026-01-20,Achizitie directa,SOCIETATEA NATIONALA DE INFORMATICA,1556587,1
achizitie-directa-2026-61121,Servicii de reparare si de intretinere a vehiculelor si a echipamentelor aferent,392.47,2026-01-20,Achizitie directa,TITAN MACHINERY ROMANIA,29352595,1
achizitie-directa-2026-72894,Imprimante laser (Rev.2),13909.0,2026-01-22,Achizitie directa,ITG ONLINE,34198965,1
